title,year,rating,score,episodes
The Simpsons,1989,7+,8.7,28
Grey's Anatomy,2005,16+,7.6,27
Law & Order: Special Victims Unit,1999,16+,8,435
Family Guy,1999,16+,8.2,315
Will & Grace,1998,16+,7.2,211
Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,5
American Horror Story,2011,18+,8.1,84
South Park,1997,18+,8.7,287
Shameless,2011,18+,8.7,1
Gotham,2014,16+,7.9,5
Fear the Walking Dead,2015,18+,7,37
CSI: Crime Scene Investigation,2000,16+,7.7,338
Frasier,1993,7+,8.1,264
Fresh Off the Boat,2015,7+,7.9,81
Vikings,2013,18+,8.6,59
Coronation Street,1960,7+,5.7,538
American Dad!,2005,16+,7.4,284
Blindspot,2015,16+,7.5,67
Blue Bloods,2010,16+,7.5,177
Fairy Tail,2009,16+,8.1,277
Station 19,2018,16+,5.9,11
Smallville,2001,7+,7.5,222
Lost,2004,16+,8.4,122
Survivor,2000,7+,7.1,498
Pokémon,1997,7+,7.4,186
Elementary,2012,16+,7.9,142
Mom,2013,16+,7.2,88
The Good Doctor,2017,16+,8.4,21
Chicago Fire,2012,16+,7.9,7
Modern Family,2009,16+,8.5,24
Twin Peaks,1990,18+,8.9,31
Lethal Weapon,2016,16+,8.1,43
The Last Ship,2014,16+,7.5,46
Bones,2005,16+,7.9,246
Superstore,2015,16+,7.7,56
Naruto Shippūden,2007,7+,8.4,499
CSI: Miami,2002,16+,6.4,233
Star Trek,1966,7+,8.3,79
One Piece,1999,7+,8.6,807
Homeland,2011,18+,8.4,59
Beverly Hills,1990,7+,6.2,240
How I Met Your Mother,2005,16+,8.3,209
Sesame Street,1969,all,8.2,94
Pretty Little Liars,2010,16+,7.5,1
How to Get Away with Murder,2014,16+,8.2,7
Star Trek: The Next Generation,1987,7+,8.6,176
Seinfeld,1989,7+,8.9,172
Adventure Time,2010,7+,8.6,63
Lucifer,2016,16+,8.2,36
This Is Us,2016,16+,8.8,38
The X-Files,1993,16+,8.7,219
America's Funniest Home Videos,1989,7+,6.2,51
Prison Break,2005,16+,8.4,87
Rugrats,1991,7+,7.5,188
Full House,1987,all,6.7,192
