title,release,duration,genres
Rucker50,2016,56,Basketball Movies
realityhigh,2017,99,Comedies
89,2017,87,British Movies
Til Death Do Us Part,2017,101,Crime Movies
(T)ERROR,2015,84,Critically-acclaimed Movies
1 Chance 2 Dance,2014,89,Dramas
1 Mile to You,2017,105,Dramas
1 Night,2016,75,Dramas
10 jours en or,2012,97,Comedies
10000 B.C.,2008,109,Action & Adventure
100 Days of Solitude,2018,93,Documentaries
100 Men,2017,94,Documentaries
100 Meters,2016,109,Dramas
100 Years: One Woman's Fight for Justice,2016,75,Documentaries
1000 Rupee Note,2014,89,Dramas
101 Dalmatians,1996,103,Animal Tales
11/8/16,2017,104,Documentaries
12,2007,160,Critically-acclaimed Movies
13 Cameras,2015,90,Horror Movies
13 Demons,2016,74,Horror Movies
13TH,2016,101,Critically-acclaimed Movies
1898: Our Last Men in the Philippines,2016,130,Dramas
1920,2008,143,20th Century Period Pieces
1920 London,2016,113,Bollywood Movies
1922,2017,103,20th Century Period Pieces
1945: The Savage Peace,2015,58,British Movies
2 Alone in Paris,2008,97,Comedies
2 States,2014,143,Bollywood Movies
20 Feet From Stardom,2013,91,Biographical Documentaries
2015 Dream Concert,2015,107,Exciting Movies
2307: Winter's Dream,2016,101,Action & Adventure
24 Hours to Live,2017,93,Action & Adventure
25 Kille,2016,140,Action & Adventure
25 to Life,2014,80,Biographical Documentaries
26 Years,2012,135,Dramas
27 el club de los malditos,2018,82,Action & Adventure
27: Gone Too Soon,2017,70,Documentaries
3 Days in Havana,2013,82,Canadian Movies
3 Türken & ein Baby,2015,93,Comedies
30 Days in September,2017,74,Dark Movies
4 Minute Mile,2014,96,Dramas
40 Year Old Virgins,2013,48,British Movies
41 Dogs in My Home,2015,44,British TV Shows
41 on 41,2014,86,Biographical Documentaries
42,2013,128,20th Century Period Pieces
42 Grams,2017,81,Documentaries
44 Pages,2018,90,Documentaries
45 Years,2015,95,British Movies
47 Meters Down,2016,89,British Movies
48 Christmas Wishes,2017,84,Children & Family Movies
4th Man Out,2015,86,Comedies
5 to 7,2014,97,Comedies
54,1998,93,20th Century Period Pieces
5CM,2012,126,Dramas
6 Balloons,2018,75,Critically-acclaimed Movies
6 Days,2017,94,20th Century Period Pieces
6 Guns,2010,96,Action & Adventure
6 Years,2015,80,Dramas
6-5=2,2014,103,Horror Movies
7 Chinese Brothers,2015,75,Comedies
7 Khoon Maaf,2011,148,Crime Dramas
7 años,2016,77,Dramas
7:19,2016,93,Critically-acclaimed Movies
9,2009,80,Action & Adventure
9/11: Truth Lies and Conspiracies,2016,46,British Movies
99,2009,138,Comedies
A 2nd Chance,2011,95,Australian Movies
A Beautiful Mind,2001,135,20th Century Period Pieces
A Beautiful Now,2015,99,Dramas
A Billion Colour Story,2016,104,Dramas
A Boy Called Po,2016,94,Dramas
A Case of You,2013,92,Comedies
A Christmas Prince,2017,92,Children & Family Movies
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,2016,22,Adventures
A Christmas Star,2015,81,British Movies
